Journal title,Journal ISSN (print version),Journal EISSN (online version),APC amount,APC currency
Brain Communications,,2632-1297,2500,GBP
JAC-Antimicrobial Resistance,,2632-1823,1200,GBP
Machine Learning: Science and Technology,,2632-2153,1600,GBP
Neuro-Oncology Advances,,2632-2498,1500,GBP
Letters in High Energy Physics,,2632-2714,300,USD
Data & Policy,,2632-3249,1250,GBP
The Planetary Science Journal,,2632-3338,1800,USD
Palliative Care and Social Practice,,2632-3524,1500,USD
BMJ Neurology Open,,2632-6140,1500,GBP
Buildings & Cities ,,2632-6655,950,GBP
Data-Centric Engineering,,2632-6736,1250,GBP
Cerebral Cortex Communications,,2632-7376,2000,GBP
NAR Cancer,,2632-8674,1500,GBP
Quantitative Plant Biology,,2632-8828,2045,GBP
IET Quantum Communication,,2632-8925,2200,USD
Nano Express,,2632-959X,1300,GBP
Neuroscience Insights,,2633-1055,1500,USD
Bone & Joint Open,,2633-1462,800,GBP
QRB Discovery,,2633-2892,3255,USD
Materials for Quantum Technology,,2633-4356,1845,GBP
Journal of Marine Sciences,,2633-4674,775,USD
Advances in Pharmacological and Pharmaceutical Sciences,,2633-4690,900,USD
Implementation Research and Practice,,2633-4895,1500,USD
Therapeutic Advances in Reproductive Health,,2633-4941,1500,USD
FEMS Microbes,,2633-6685,1460,GBP
Oxford Open Immunology,,2633-6960,1600,GBP
Oxford Open Materials Science,,2633-6979,1500,GBP
Function,,2633-8823,2870,GBP
Energy Conversion and Economics,,2634-1581,2200,USD
Composites and Advanced Materials,,2634-9833,1500,USD
International Journal of Medical Arts,2636-4174,2682-3780,150,USD
STED Journal,2637-2150,2637-2614,50,EUR
Paediatric & Neonatal Pain,,2637-3807,2400,USD
Environmental DNA,,2637-4943,2050,EUR
IEEE Open Journal of Antennas and Propagation,,2637-6431,1750,USD
Carbon Energy,,2637-9368,3500,USD
Applied Phycology,,2638-8081,460,GBP
Research,,2639-5274,1500,USD
Ecosystems and People,2639-5908,2639-5916,1000,USD
Environmental Pollutants & Bioavailability,,2639-5940,1200,USD
Legume Science,,2639-6181,1800,EUR
"Agrosystems, Geosciences & Environment",,2639-6696,1100,USD
Critical Care Explorations,,2639-8028,1600,USD
Advanced Intelligent Systems,,2640-4567,2750,USD
Sexual and Reproductive Health Matters,,2641-0397,1700,EUR
Quantitative Science Studies,,2641-3337,800,USD
Neurobiology of Language,,2641-4368,1100,USD
Biomaterial Investigations in Dentistry,,2641-5275,1150,EUR
Precision Medical Sciences,,2642-2514,2400,USD
Florida Public Health Review,,2643-6248,150,USD
Food Frontiers,,2643-8429,5000,USD
IEEE Open Journal of Circuits and Systems,,2644-1225,1750,USD
IEEE Open Journal of Industry Applications,,2644-1241,1750,USD
IEEE Open Journal of the Communications Society,,2644-125X,1750,USD
IEEE Open Journal of the Computer Society,,2644-1268,1750,USD
IEEE Open Journal of Engineering in Medicine and Biology,,2644-1276,1750,USD
IEEE Open Journal of the Industrial Electronics Society,,2644-1284,1750,USD
IEEE Open Journal of Nanotechnology,,2644-1292,1750,USD
IEEE Open Journal of Power Electronics,,2644-1314,1750,USD
IEEE Open Journal of Signal Processing,,2644-1322,1750,USD
IEEE Open Journal of Vehicular Technology,,2644-1330,1750,USD
International Pharmacy Acta,2645-3258,2645-3266,200,USD
"International Journal of Industrial Electronics, Control and Optimization",2645-3517,2645-3568,2500000,IRR
Archives of Academic Emergency Medicine,,2645-4904,15000000,IRR
پژوهش‌های راهبردی مسائل اجتماعی ایران,,2645-7539,2500000,IRR
Journal of Virtual Exchange,,2647-4832,200,EUR
Applied Linguistics Research Journal,,2651-2629,300,USD
Transport Findings,,2652-0397,100,USD
Findings,,2652-8800,100,USD
Jurnal Inovasi Hasil Pengabdian Masyarakat,2654-282X,2621-783X,400000,IDR
Jurnal Kajian Peradaban Islam,,2654-3974,25,USD
Jurnal Studi Guru dan Pembelajaran,,2654-6477,300000,IDR
Jurnal Kumparan Fisika,,2655-1403,150000,IDR
Aulad,2655-4798,2655-433X,500000,IDR
Agro Bali: Agricultural Journal,,2655-853X,800000,IDR
Journal of Islamic Economic Laws,2655-9609,2655-9617,100000,IDR
Acitya,,2655-9722,350000,IDR
Bulletin of Counseling and Psychotherapy,,2656-1050,100,USD
Psychocentrum Review,2656-1069,2656-8454,400000,IDR
Epidemiology and Society Health Review,2656-1107,2656-6052,100,USD
Jurnal Inovasi Ilmu Sosial dan Politik  ,2656-1565,2656-8209,300000,IDR
Jurnal Informatika dan Rekayasa Perangkat Lunak,2656-2855,2685-5518,150000,IDR
Manazhim ,2656-5374,2656-0216,100000,IDR
Fondatia : Jurnal Pendidikan Dasar,2656-5390,2579-6194,100000,IDR
Journal of Information Systems and Informatics,2656-5935,2656-4882,500000,IDR
Kaibon Abhinaya,,2657-1110,350000,IDR
Safety & Fire Technology,2657-8808,2658-0810,800,PLN
Russian Journal of Education and Psychology,2658-4034,,80,USD
Siberian Journal of Life Sciences and Agriculture,2658-6649,2658-6657,300,USD
Open Respiratory Archives,,2659-6636,1875,EUR
Journal of Clinical Rheumatology and Immunology,2661-3417,2661-3425,800,USD
Three Seas Economic Journal,2661-5150,2661-5290,100,EUR
BMC Chemistry,,2661-801X,1570,GBP
BMC Molecular and Cell Biology,,2661-8850,1570,GBP
Implementation Science Communications,,2662-2211,1255,GBP
Journal of Infrastructure Preservation and Resilience,,2662-2521,990,GBP
CABI Agriculture and Bioscience,,2662-4044,860,GBP
Communications Earth & Environment,,2662-4435,1990,GBP
Communications Materials,,2662-4443,2170,GBP
BMC Complementary Medicine and Therapies,,2662-7671,1790,GBP
Canine Medicine and Genetics,,2662-9380,1060,GBP
Discover Sustainability,,2662-9984,990,EUR
Humanities & Social Sciences Communications,,2662-9992,990,GBP
Філософія та політологія в контексті сучасної культури,2663-0265,2663-0273,1000,UAH
Access to Justice in Eastern Europe,2663-0575,2663-0583,500,EUR
Theoretical and Applied Veterinary Medicine,2663-1156,2663-1164,700,UAH
Қарағанды университетінің хабаршысы. Химия сериясы,,2663-4872,15000,KZT
Science Journal of University of Zakho,2663-628X,2663-6298,100,USD
"Економіка, управління та адміністрування",2664-245X,2664-2468,500,UAH
گۆڤارا زانستێن مرۆڤایەتی یا زانكۆیا زاخۆ,2664-4673,2664-4681,125000,IQD
Researches in Mathematics,2664-4991,2664-5009,20,USD
Liberal Arts and Social Sciences International Journal,,2664-8148,800,USD
Pedagogy of Physical Culture and Sports,,2664-9837,70,USD
Technology Audit and Production Reserves,2664-9969,2706-5448,70,EUR
Revue Internationale du Marketing et Management Stratégique,,2665-7341,500,MAD
Computational Communication Research,,2665-9085,1000,USD
Forensic Science International: Reports,,2665-9107,650,USD
Measurement: Sensors,,2665-9174,1800,USD
Current Research in Food Science,,2665-9271,2500,USD
Current Research in Structural Biology,,2665-928X,2500,USD
Current Research in Physiology,,2665-9441,2500,USD
Environmental and Sustainability Indicators,,2665-9727,1600,USD
Case Studies in Chemical and Environmental Engineering,,2666-0164,600,USD
Science of Remote Sensing,,2666-0172,1750,USD
Current Research in Toxicology,,2666-027X,2500,USD
Physics Open,,2666-0326,1950,USD
Quaternary Science Advances,,2666-0334,1600,USD
Current Research in Environmental Sustainability,,2666-0490,1750,USD
Fuel Communications,,2666-0520,1700,USD
Sensors and Actuators Reports,,2666-0539,1600,USD
"Arthroscopy, Sports Medicine, and Rehabilitation",,2666-061X,2000,USD
JACC: Case Reports,,2666-0849,650,USD
Current Research in Green and Sustainable Chemistry,,2666-0865,2250,USD
JACC. CardioOncology,,2666-0873,2500,USD
Engineered Regeneration,,2666-1381,840,USD
International Journal of Nursing Studies Advances,,2666-142X,2000,USD
Latin American Journal of Central Banking,,2666-1438,1450,USD
Biomarkers in Neuropsychiatry,,2666-1446,1750,USD
Human Nutrition & Metabolism,,2666-1497,1850,USD
Journal of Agriculture and Food Research,,2666-1543,1800,USD
Developments in the Built Environment,,2666-1659,2000,USD
STAR Protocols,,2666-1667,750,USD
European Urology Open Science,,2666-1683,1800,USD
Sustainable Futures,,2666-1888,1400,USD
International Journal of Thermofluids,,2666-2027,2000,USD
"Cerebral Circulation, Cognition and Behavior",,2666-2450,2400,USD
HGG Advances,,2666-2477,2400,GBP
Journal of Power Sources Advances,,2666-2485,2500,USD
Ore and Energy Resource Geology,,2666-2612,2000,USD
Surgery in Practice and Science,,2666-2620,2100,USD
International Journal of Cognitive Computing in Engineering,,2666-3074,800,USD
JAAD International,,2666-3287,2500,USD
Journal of Advanced Joining Processes,,2666-3309,1500,USD
F&S Reports,,2666-3341,2000,USD
JVS - Vascular Science,,2666-3503,2800,USD
Sensors International,,2666-3511,800,USD
Applications in Energy and Combustion Science,,2666-352X,2000,USD
Forensic Science International: Mind and Law,,2666-3538,1700,USD
"Brain, Behavior, & Immunity - Health",,2666-3546,2500,USD
Forces in Mechanics,,2666-3597,2000,USD
JTO Clinical and Research Reports,,2666-3643,2000,USD
International Journal of Educational Research Open,,2666-3740,1300,USD
Cell Reports Medicine,,2666-3791,4100,GBP
Cell Reports Physical Science,,2666-3864,5200,USD
Patterns,,2666-3899,5200,USD
Endocrine and Metabolic Science,,2666-3961,2500,USD
Sustainable Operations and Computers,,2666-4127,800,USD
Journal of Magnetic Resonance Open,,2666-4410,1500,USD
Water Cycle,,2666-4453,700,USD
Journal of Photochemistry and Photobiology,,2666-4690,1700,USD
Comprehensive Psychoneuroendocrinology,,2666-4976,1750,USD
Environmental Science and Ecotechnology,,2666-4984,2000,USD
Current Research in Insect Science,,2666-5158,1600,USD
Current Research in Microbial Sciences,,2666-5174,2500,USD
Current Research in Behavioral Sciences,,2666-5182,2500,USD
Resuscitation Plus,,2666-5204,2100,USD
Brain Multiphysics,,2666-5220,1300,USD
Applied Surface Science Advances,,2666-5239,1500,USD
The Lancet Microbe,,2666-5247,5000,USD
Biomaterials and Biosystems,,2666-5344,2000,USD
Public Health in Practice,,2666-5352,1700,USD
Open Ceramics,,2666-5395,2000,USD
Giant,,2666-5425,3000,USD
Artificial Intelligence in Geosciences,,2666-5441,800,USD
Energy and AI,,2666-5468,3000,USD
North American Spine Society Journal,,2666-5484,2100,USD
Computers and Education Open,,2666-5573,1300,USD
"Wellbeing, Space and Society",,2666-5581,1450,USD
Food Chemistry: Molecular Sciences,,2666-5662,2000,USD
Thrombosis Update,,2666-5727,1250,USD
International Journal of Intelligent Networks,,2666-6030,800,USD
The Lancet Regional Health. Western Pacific,,2666-6065,3500,USD
Journal of Migration and Health,,2666-6235,1910,USD
JSES International,,2666-6383,1250,USD
"JSES Reviews, Reports, and Techniques",,2666-6391,1250,USD
American Journal of Preventive Cardiology,,2666-6677,1600,USD
International Journal of Cardiology Congenital Heart Disease,,2666-6685,2000,USD
The Innovation,,2666-6758,5000,USD
Composites Part C: Open Access,,2666-6820,1800,USD
EJVES Vascular Forum,,2666-688X,1630,USD
Transportation Engineering,,2666-691X,2000,USD
Cardiovascular Digital Health Journal,,2666-6936,2800,USD
Journal of Orthopaedics and Spine,,2666-7150,250,USD
"Trees, Forests and People",,2666-7193,1000,USD
Results in Control and Optimization,,2666-7207,1000,USD
Project Leadership and Society,,2666-7215,1800,USD
The Lancet. Healthy Longevity,,2666-7568,5000,USD
Environmental Advances,,2666-7657,1750,USD
Orthoplastic Surgery,,2666-769X,1700,USD
The Lancet Regional Health. Europe,,2666-7762,3500,USD
Cleaner and Responsible Consumption,,2666-7843,1200,USD
Cleaner Environmental Systems,,2666-7894,1200,USD
Cleaner Engineering and Technology,,2666-7908,1200,USD
Advances in Applied Energy,,2666-7924,3600,USD
Partial Differential Equations in Applied Mathematics,,2666-8181,1000,USD
Chemical Engineering Journal Advances,,2666-8211,1400,USD
Maritime Transport Research,,2666-822X,1500,USD
Machine Learning with Applications,,2666-8270,2200,USD
Results in Geophysical Sciences,,2666-8289,1000,USD
Talanta Open,,2666-8319,1500,USD
Future Foods,,2666-8335,1800,USD
Results in Surfaces and Interfaces,,2666-8459,1000,USD
Carbohydrate Polymer Technologies and Applications,,2666-8939,1800,USD
Journal of Hazardous Materials Letters,,2666-9110,1250,USD
Advances in Industrial and Manufacturing Engineering,,2666-9129,1750,USD
Ophthalmology Science,,2666-9145,2500,USD
Journal of Affective Disorders Reports,,2666-9153,2000,USD
"Resources, Environment and Sustainability",,2666-9161,2000,USD
Computers and Education: Artificial Intelligence,,2666-920X,1800,USD
JCIS Open,,2666-934X,1600,USD
Results in Optics,,2666-9501,1000,USD
Smart Energy,,2666-9552,2000,USD
Neuroimage: Reports,,2666-9560,1800,USD
Annals of Tourism Research Empirical Insights,,2666-9579,1700,USD
Annals of 3D Printed Medicine,,2666-9641,2000,USD
Computer Methods and Programs in Biomedicine Update,,2666-9900,1500,USD
Environmental Challenges,,2667-0100,1800,USD
Fish and Shellfish Immunology Reports,,2667-0119,1750,USD
Chemical Physics Impact,,2667-0224,1000,USD
JID Innovations,,2667-0267,2000,USD
Phytomedicine Plus,,2667-0313,1500,USD
Aging and Health Research,,2667-0321,2000,USD
Journal of Clinical Virology Plus,,2667-0380,2000,USD
Carbon Trends,,2667-0569,1500,USD
Plant Stress,,2667-064X,1400,USD
International Journal of Information Management Data Insights,,2667-0968,1500,USD
Current Research in Parasitology and Vector-Borne Diseases,,2667-114X,1900,USD
Advances in Oral and Maxillofacial Surgery,,2667-1476,1650,USD
BBA Advances,,2667-1603,2300,USD
IBRO Neuroscience Reports,,2667-2421,1500,USD
Clinical Nutrition Open Science,,2667-2685,1200,USD
The Journal of Climate Change and Health,,2667-2782,2300,USD
Fundamental Research,,2667-3258,980,USD
Journal of Research and Innovation for Sustainable Society,,2668-0416,150,RON
Technium Social Sciences Journal,,2668-7798,100,EUR
Insights into Regional Development,,2669-0195,350,EUR
AICEI Proceedings,,2671-3713,100,EUR
Journal of Animal Reproduction and Biotechnology,2671-4639,2671-4663,300000,KRW
Journal of Animal Science and Technology,2672-0191,2055-0391,500000,KRW
Prosthesis,,2673-1592,1200,CHF
Oceans,,2673-1924,1000,CHF
Frontiers in Digital Health,,2673-253X,1900,USD
AI,,2673-2688,1000,CHF
Frontiers in Chemical Engineering,,2673-2718,1150,USD
Frontiers in Human Dynamics,,2673-2726,950,USD
Frontiers in Nanotechnology,,2673-3013,1150,USD
Frontiers in Toxicology,,2673-3080,1900,USD
Frontiers in Medical Technology,,2673-3129,1900,USD
Frontiers in Political Science,,2673-3145,950,USD
Frontiers in Reproductive Health,,2673-3153,1900,USD
Applied Mechanics,,2673-3161,1000,CHF
Frontiers in Agronomy,,2673-3218,1900,USD
Optics,,2673-3269,1000,CHF
Electrochem,,2673-3293,1000,CHF
Frontiers in Genome Editing,,2673-3439,1900,USD
Applied Nano,,2673-3501,1000,CHF
Sinusitis,,2673-351X,1000,CHF
Hearts,,2673-3846,1000,CHF
Transplantology,,2673-3943,1000,CHF
Endocrines,,2673-396X,1000,CHF
Electronic Materials,,2673-3978,1000,CHF
Epidemiologia,,2673-3986,1000,CHF
Fuels,,2673-3994,1000,CHF
Telecom,,2673-4001,1000,CHF
Organics,,2673-401X,1000,CHF
Automation,,2673-4052,1000,CHF
World,,2673-4060,1000,CHF
Sustainable Chemistry,,2673-4079,1000,CHF
NeuroSci,,2673-4087,1000,CHF
Surgeries,,2673-4095,1000,CHF
CivilEng,,2673-4109,1000,CHF
Eng,,2673-4117,1000,CHF
Frontiers in Virtual Reality,,2673-4192,1900,USD
Frontiers in Environmental Chemistry,,2673-4486,1900,USD
Frontiers in Sustainability,,2673-4524,1150,USD
Electricity,,2673-4826,1000,CHF
Frontiers in Oral Health,,2673-4842,1900,USD
Frontiers in Dental Medicine,,2673-4915,1900,USD
Frontiers in Global Women's Health,,2673-5059,1900,USD
Frontiers in Future Transportation,,2673-5210,950,USD
Journal of Molecular Pathology,,2673-5261,1000,CHF
Frontiers in Communications and Networks,,2673-530X,1900,USD
Psychiatry International,,2673-5318,1000,CHF
Frontiers in Pain Research,,2673-561X,1900,USD
Journal of Zoological and Botanical Gardens,,2673-5636,1000,CHF
Tourism and Hospitality,,2673-5768,1000,CHF
Radiation,,2673-592X,1000,CHF
Birds,,2673-6004,1000,CHF
Frontiers in Allergy,,2673-6101,1900,USD
Frontiers in Conservation Science,,2673-611X,1900,USD
Frontiers in Fungal Biology,,2673-6128,1900,USD
Frontiers in Neuroergonomics,,2673-6195,1900,USD
Frontiers in Aging,,2673-6217,1900,USD
Frontiers in Animal Science,,2673-6225,1150,USD
BioTech,,2673-6284,1400,CHF
Hemato,,2673-6357,1000,CHF
Oral,,2673-6373,1000,CHF
Entomological Communications,,2675-1305,250,BRL
Educação Infantil Online,,2675-9551,210,EUR
Frontiers in Dentistry,,2676-296X,200,EUR
International Journal of Scientific Research in Dental and Medical Sciences,2676-5497,2676-5373,50,USD
(پژوهش حسابداری و حسابرسی (پیوسته,2676-7546,2676-7554,1500000,IRR
Acta Acustica,,2681-4617,900,EUR
Miṣriqiyā,2682-4116,2682-4124,1100,EGP
ARPHA Proceedings,,2683-0183,75,EUR
Vegetation Classification and Survey (VCS),,2683-0671,750,EUR
Održivi razvoj ,2683-3654,2683-3689,12000,RSD
Indonesian Journal of Religion and Society,,2684-852X,500000,IDR
Bio-Inoved: Jurnal Biologi-Inovasi Pendidikan,2684-9062,2714-9803,400000,IDR
Abdihaz,,2685-0354,500000,IDR
Utamax,2685-0540,2685-4252,50,USD
Jurnal Penelitian dan Evaluasi Pendidikan,2685-7111,2338-6061,1100000,IDR
Journal of English Education and Teaching,2685-743X,2622-5867,400000,IDR
Jurnal Berdaya Mandiri,,2685-8398,200000,IDR
Jurnal Ilmu Keperawatan Jiwa,2685-9394,2621-2978,400000,IDR
Economic Consultant,,2686-9012,10000,RUB
Journal of Pedagogical Sociology and Psychology,,2687-3788,40,USD
